Aba, Abia 	 5.1167 , 7.3667 	 5.1166666666667 , 7.3666666666667
Ada, Serbia 	 45.8025 , 20.1258 	 45.801388888889 , 20.122222222222
Adra, Purulia 	 23.5 , 86.67 	 23.49809 , 86.66717
Adra, Syria 	 33.6 , 36.515 	 33.6 , 36.515
Adrian, Georgia 	 32.5319 , -82.5906 	 32.531944444444 , -82.590555555556
Adrian, Michigan 	 41.8975 , -84.0372 	 41.8975 , -84.037222222222
Adrian, Missouri 	 38.3969 , -94.3523 	 38.396666666667 , -94.352222222222
Adrian, Oregon 	 43.7397 , -117.0708 	 43.739722222222 , -117.07083333333
Adrian, Texas 	 35.2744 , -102.6664 	 35.274444444444 , -102.66611111111
Agra 	 27.18 , 78.02 	 27.18 , 78.02
Agra, Oklahoma 	 35.8942 , -96.8708 	 35.894166666667 , -96.870833333333
Agra, Switzerland 	 45.9668 , 8.9114 	 45.966666666667 , 8.9166666666667
Agua Caliente, Arizona 	 32.9853 , -113.3244 	 32.9853 , -113.324
Agua Caliente, El Salvador 	 14.1667 , -89.2167 	 14.166666666667 , -89.216666666667
Agua Caliente, Tijuana 	 32.5094 , -116.9931 	 32.50944444 , -116.99305556
Aguada, Montevideo 	 -34.893 , -56.1896 	 -34.892986111111 , -56.189577777778
Aguada, Puerto Rico 	 18.3794 , -67.1883 	 18.37939 , -67.18824
Agua Fria, California 	 37.485 , -120.0203 	 37.485 , -120.02027777778
Agua Fria, New Mexico 	 35.6591 , -106.0124 	 35.65889 , -106.01222
Agua Prieta 	 31.3258 , -109.5489 	 31.325833333333 , -109.54888888889
Aguilar, Pangasinan 	 15.8889 , 120.2386 	 15.833333333333 , 120.2
Ahangaran 	 35.6139 , 69.4917 	 35.6139 , 69.4917
Aksu, Antalya 	 36.9466 , 30.8363 	 36.9325 , 30.82055556
Aksu, Kazakhstan 	 52.0333 , 76.9167 	 52.033333333333 , 76.916666666667
Alameda, California 	 37.7653 , -122.2417 	 37.763888888889 , -122.25694444444
Alameda, Idaho 	 42.89 , -112.4542 	 42.89 , -112.454
Alameda, Portland, Oregon 	 45.5482 , -122.6307 	 45.5482 , -122.6307
Alameda, Saskatchewan 	 49.16 , -102.17 	 49.2667 , -102.283
Alamo, California 	 37.873 , -122.031 	 37.850277777778 , -122.03222222222
Alamo, Nevada 	 37.3646 , -115.1547 	 37.365 , -115.16444444444
Alamo, Texas 	 26.185 , -98.1178 	 26.185 , -98.117777777778
Alang 	 21.4121 , 72.2027 	 21.412080555556 , 72.202747222222
Alata, Corse-du-Sud 	 41.9778 , 8.7439 	 41.976944444444 , 8.7430555555556
Albany, California 	 37.8869 , -122.2978 	 37.886944444444 , -122.29777777778
Albany, Georgia 	 31.5822 , -84.1656 	 31.582222222222 , -84.165555555556
Albany, Kentucky 	 36.6933 , -85.1353 	 36.69306 , -85.13528
Albany, Louisiana 	 30.5031 , 90.5839 	 30.50306 , -90.58389
Albany, Minnesota 	 45.6319 , -94.57 	 45.63194444 , -94.57
Albany, New Hampshire 	 43.96 , -71.1936 	 43.96 , -71.193611111111
Albany, New Zealand 	 -36.7167 , 174.7 	 -36.716666666667 , 174.7
Albany, Ohio 	 39.2289 , -82.2003 	 39.228888888889 , -82.200277777778
Albany, Oregon 	 44.6302 , -123.096 	 44.630277777778 , -123.09611111111
Albany, Texas 	 32.7269 , -99.2944 	 32.726944444444 , -99.294444444444
Albany, Vermont 	 44.7306 , -72.3406 	 44.73088 , -72.37983
Albany, Western Australia 	 -35.0222 , 117.8806 	 -35.0228 , 117.8814
Alberton, Gauteng 	 -26.2672 , 28.1219 	 -26.267222222222 , 28.121944444444
Alberton, Montana 	 47.0036 , -114.4781 	 47.00159 , -114.47345
Alberton, Ontario 	 48.6 , -93.5333 	 48.6 , -93.5333
Alberton, Prince Edward Island 	 46.8129 , -64.0649 	 46.8167 , -64.0667
Alberton, Queensland 	 -27.7069 , 153.2689 	 -27.7069 , 153.269
Alberton, South Australia 	 -34.861 , 138.516 	 -34.85925 , 138.52138
Alberton, Victoria 	 38.6167 , 146.6667 	 -38.6167 , 146.667
Alcala, Pangasinan 	 15.8472 , 120.524 	 15.847222 , 120.524167
Alcantara, Romblon 	 12.2667 , 122.05 	 12.266666666667 , 122.05
Alegria, Surigao del Norte 	 9.4997 , 125.5825 	 9.46694 , 125.57722
Alexandra, Arizona 	 34.2633 , -112.3083 	 34.2633 , -112.308
Alexandra, Gauteng 	 -26.1039 , 28.0961 	 -26.103833333333 , 28.096166666667
Alexandra, New Zealand 	 -45.2492 , 169.3797 	 -45.249166666667 , 169.37972222222
Alexandra, Victoria 	 -37.1913 , 145.7112 	 -37.1917 , 145.71
Alexandria 	 31.1981 , 29.9192 	 31.2 , 29.916666666667
Alexandria, British Columbia 	 52.63 , -122.449 	 52.633 , -122.45
Alexandria, Indiana 	 40.2631 , -85.6764 	 40.263055555556 , -85.676388888889
Alexandria, Kentucky 	 38.9589 , -84.3892 	 38.95889 , -84.38917
Alexandria, Louisiana 	 31.2928 , -92.4592 	 31.2928 , -92.4592
Alexandria, Minnesota 	 45.8852 , -95.3772 	 45.885233333333 , -95.377222222222
Alexandria, Nebraska 	 40.2456 , 97.3886 	 40.245555555556 , -97.388611111111
Alexandria, New Hampshire 	 43.6225 , -71.8556 	 43.611388888889 , -71.792777777778
Alexandria, New South Wales 	 -33.9017 , 151.2001 	 -33.9017 , 151.2
Alexandria, New York 	 44.3167 , -75.8833 	 44.316666666667 , -75.883333333333
Alexandria, Pennsylvania 	 40.5578 , -78.0989 	 40.55646 , -78.09778
Alexandria, Virginia 	 38.8162 , -77.0713 	 38.804722222222 , -77.047222222222
Algarrobo, Chile 	 -33.3911 , -71.6928 	 -33.369256 , -71.668139
Algeciras 	 36.1306 , -5.4475 	 36.1275 , -5.4538888888889
Algorta 	 43.35 , -3.0167 	 43.352777777778 , -3.0116666666667
Alhambra, California 	 34.111 , -118.126 	 34.081944444444 , -118.135
Alhambra, Montana 	 46.4511 , -111.9878 	 46.45111111 , -111.9877778
Al Hamriyah 	 25.4808 , 55.4983 	 25.480833333333 , 55.498333333333
Allahabad 	 25.4425 , 81.8299 	 25.45 , 81.85
Allen, Kentucky 	 37.6133 , -82.7258 	 37.61333 , -82.72556
Allen, Northern Samar 	 12.5006 , 124.2867 	 12.5 , 124.28333333333
Allen, Oklahoma 	 34.8781 , -96.4119 	 34.87898 , -96.41251
Allen, Texas 	 33.0997 , -96.6631 	 33.099722222222 , -96.663055555556
Alliance, Alberta 	 52.4335 , -111.785 	 52.4322 , -111.78
Alliance, Ohio 	 40.9133 , -81.1081 	 40.91333 , -81.10806
Alma, Arkansas 	 35.4881 , -94.2208 	 35.477777777778 , -94.221944444444
Alma, California 	 37.18 , -121.98 	 37.18 , -121.98
Alma, Colorado 	 39.2859 , -106.0663 	 39.28389 , -106.06306
Alma, Georgia 	 31.5417 , -82.4667 	 31.541666666667 , -82.466666666667
Almagro, Buenos Aires 	 -34.61 , -58.42 	 -34.6 , -58.416666666667
Alma, Kansas 	 39.0156 , -96.2892 	 39.01556 , -96.28889
Alma, Louisiana 	 30.5964 , -91.3894 	 30.5964 , -91.3894
Alma, Michigan 	 43.3783 , -84.6594 	 43.378888888889 , -84.659722222222
Alma, Nebraska 	 40.1008 , -99.3625 	 40.100833333333 , -99.3625
Alma, New Mexico 	 33.3794 , -108.9033 	 33.379444444444 , -108.90333333333
Alma, New York 	 42.0125 , -78.0578 	 42.0125 , -78.057777777778
Alma, Safad 	 33.0556 , 35.491 	 33.05561944 , 35.49098056
Alma, Texas 	 32.2858 , 96.545 	 32.28542 , -96.5461
Alma, Wisconsin 	 44.34 , -91.9244 	 44.34 , -91.924444444444
Alta, California 	 39.2067 , -120.8114 	 39.206569444444 , -120.81133055556
Alta, Iowa 	 42.6736 , -95.2906 	 42.671944444444 , -95.304722222222
Alta, Utah 	 40.5808 , -111.6372 	 40.580833333333 , -111.63722222222
Alta, Wyoming 	 43.76 , -111.0025 	 43.76 , -111.0025
Altoona, Iowa 	 41.65 , -93.4725 	 41.65 , -93.4725
Altoona, Wisconsin 	 44.8042 , -91.4422 	 44.804166666667 , -91.442222222222
Ama, Shimane 	 36.0953 , 133.0931 	 36.096666666667 , 133.09694444444
Amelia, Umbria 	 42.55 , 12.4167 	 42.55177 , 12.42076
Ames, Iowa 	 42.0347 , -93.62 	 42.034722222222 , -93.62
Ames, Oklahoma 	 36.2467 , -98.1867 	 36.246666666667 , -98.186666666667
Amherst, Maine 	 44.8328 , -68.3889 	 44.833333333333 , -68.364166666667
Amherst, Massachusetts 	 42.3745 , -72.5186 	 42.366667 , -72.516667
Amherst, New Hampshire 	 42.8614 , -71.6253 	 42.861388888889 , -71.625277777778
Amherst, New York 	 43.0117 , -78.7569 	 42.978333333333 , -78.8
Amherst, Nova Scotia 	 45.8316 , -64.2092 	 45.8167 , -64.2167
Amherst, Ohio 	 41.4 , -82.2261 	 41.4 , -82.226111111111
Amherst, Texas 	 34.0103 , -102.4156 	 34.010277777778 , -102.41555555556
Amherst, Victoria 	 37.1453 , 143.6686 	 -37.1453 , 143.669
Amherst, Virginia 	 37.5769 , -79.0506 	 37.58514 , -79.05141
Amo, Indiana 	 39.6886 , 86.6128 	 39.6881 , -86.61361
Anda, Bohol 	 9.746 , 124.576 	 9.75 , 124.56666666667
Anda, Heilongjiang 	 46.4625 , 125.5067 	 46.40775 , 125.32518
Anda, Pangasinan 	 16.2833 , 119.967 	 16.283333 , 119.966667
Andara 	 -18.0622 , 21.4431 	 -18.06222222 , 21.44305556
Anderson, Alabama 	 34.92 , -87.2703 	 34.92842 , -87.26641
Anderson, Alaska 	 64.3453 , -149.1953 	 64.345372 , -149.195352
Anderson, California 	 40.4522 , -122.2967 	 40.452222222222 , -122.29666666667
Anderson, Indiana 	 40.1053 , -85.6803 	 40.1 , -85.68139
Anderson, South Carolina 	 34.5144 , -82.6489 	 34.5049 , -82.6524
Anderson, Texas 	 30.4869 , -95.9878 	 30.48694 , -95.98778
Andes, New York 	 42.1889 , -74.7858 	 42.1887 , -74.78571
Andrade, California 	 32.7258 , -114.7258 	 32.725833333333 , -114.72583333333
Angeles, Philippines 	 15.1445 , 120.5919 	 15.15 , 120.58333333333
Angola 	 -12.35 , 17.35 	 -12.35 , 17.35
Angola, Indiana 	 41.6369 , -85.0008 	 41.63694 , -85.00083
Ani 	 40.5062 , 43.5718 	 40.5075 , 43.572777777778
Anna, Georgia 	 31.2669 , -84.1486 	 31.2669 , -84.1486
Anna, Illinois 	 37.4611 , -89.2444 	 37.46083 , -89.24417
Annan, Dumfries and Galloway 	 54.9833 , -3.2667 	 54.983 , -3.266
Anna, Ohio 	 40.3953 , 84.1736 	 40.39528 , -84.17361
Anna, Texas 	 33.3503 , -96.5508 	 33.35028 , -96.55056
Anos 	 43.3992 , -0.2914 	 43.4 , -0.28333
Anshan 	 41.1083 , 122.9833 	 41.10662 , 122.98945
Anta, Ancash 	 -9.3667 , -77.6 	 -9.3666666666667 , -77.6
Antas 	 37.2452 , -1.9175 	 37.2452206 , -1.9181629
Antioch 	 36.2013 , 36.1653 	 36.2 , 36.15
Antioch, California 	 38.005 , -121.8058 	 38.005 , -121.80583333333
Antioch, Illinois 	 42.4792 , -88.0908 	 42.47889 , -88.09083
Antioch, Nebraska 	 42.0683 , -102.5822 	 42.0683 , -102.582
Anton, Texas 	 33.8111 , 102.1622 	 33.811111111111 , -102.16388888889
Anyang, Gyeonggi 	 37.3925 , 126.9269 	 37.3925 , 126.92694444444
Arabi, Louisiana 	 29.9575 , 89.9989 	 29.9575 , -89.99889
Aragon, Aude 	 43.2969 , 2.3153 	 43.296111111111 , 2.3144444444444
Arak, Syria 	 34.65 , 38.5667 	 34.65 , 38.56666667
Arang 	 21.2 , 81.97 	 21.2 , 81.97
Arcadia 	 37.5833 , 22.25 	 37.508333 , 22.375
Arcadia, California 	 34.1327 , -118.0365 	 34.132777777778 , -118.03638888889
Arcadia, Louisiana 	 32.5492 , -92.9203 	 32.54904 , -92.92016
Arcadia, Maryland 	 39.564 , -76.837 	 39.564 , -76.837
Arcadia, New South Wales 	 -33.6243 , 151.0445 	 -33.6243 , 151.045
Arcadia, New York 	 43.0617 , -77.0878 	 43.061666666667 , -77.087777777778
Arcadia, North Carolina 	 35.9475 , -80.3089 	 35.9475 , -80.308888888889
Arcadia, Rhode Island 	 41.5556 , -71.6967 	 41.5556 , -71.6967
Arcadia, Tennessee 	 36.58 , -82.44 	 36.5833 , -82.4445
Arcos, Minas Gerais 	 -20.2914 , -45.5397 	 -20.291388888889 , -45.539722222222
Ardon, Switzerland 	 46.2117 , 7.2578 	 46.2 , 7.25
Arevalo, Iloilo City 	 10.6859 , 122.5118 	 10.685833333333 , 122.51166666667
Argentina 	 -34.5997 , -58.3819 	 -34.0 , -64.0
Argun, Chechen Republic 	 43.2931 , 45.8669 	 43.3 , 45.866666666667
Arica 	 -18.4744 , -70.3001 	 -18.475 , -70.314444444444
Arizona 	 34.2867 , -111.6569 	 34.286667 , -111.656944
Arlington, Devon 	 51.1483 , -3.9819 	 51.14833 , -3.96773
Arlington, East Sussex 	 50.84 , 0.19 	 50.84 , 0.19
Arlington, Illinois 	 41.4722 , 89.2469 	 41.47222 , -89.24694
Arlington, Kansas 	 37.8964 , -98.1794 	 37.89611 , -98.17917
Arlington, Massachusetts 	 42.4153 , -71.1569 	 42.41537 , -71.15644
Arlington, Missouri 	 37.9203 , -91.9711 	 37.9203 , -91.9711
Arlington, Oregon 	 45.715 , -120.1997 	 45.715 , -120.19972222222
Arlington, South Dakota 	 44.3644 , -97.1331 	 44.364444444444 , -97.134722222222
Arlington, Texas 	 32.705 , -97.1228 	 32.705033 , -97.122839
Arlington, Vermont 	 43.0666 , -73.2263 	 43.0748 , -73.154
Arlington, Washington 	 48.1811 , -122.1389 	 48.1811 , -122.139
Arlington, Wyoming 	 41.5947 , -106.2083 	 41.594722 , -106.208333
Armenia 	 40.17 , 44.52 	 40.383333 , 44.95
Armstrong, British Columbia 	 50.4477 , -119.197 	 50.4483 , -119.196
Armstrong, Oklahoma 	 34.0525 , -96.3442 	 34.05148 , -96.34527
Armstrong, Thunder Bay District, Ontario 	 50.305 , -89.0419 	 50.3031 , -89.0364
Arnold, California 	 38.25 , -120.35 	 38.25 , -120.35
Arnold, Maryland 	 39.0472 , 76.4964 	 39.0472 , -76.4967
Arnold, Missouri 	 38.4328 , -90.3694 	 38.432777777778 , -90.369444444444
Arnold, Nottinghamshire 	 53.002 , -1.13 	 53.0 , -1.122
Arnold, Pennsylvania 	 40.5775 , -79.7644 	 40.5775 , -79.764444444444
Arroyo Seco, Querétaro 	 21.5472 , -99.6883 	 21.545833333333 , -99.689444444444
Arta, Djibouti 	 11.5167 , 42.7833 	 11.522222222222 , 42.791944444444
Artas, Bethlehem 	 31.6892 , 35.1861 	 31.689166666667 , 35.186111111111
Aru, Jammu and Kashmir 	 34.0908 , 75.2633 	 34.09083333 , 75.26333333
Asadabad, Afghanistan 	 34.8731 , 71.147 	 34.874166666667 , 71.152777777778
Asan, Guam 	 13.4611 , 144.7242 	 13.471388888889 , 144.71388888889
Ashley, Cambridgeshire 	 52.22 , 0.47 	 52.22 , 0.47
Ashley, New Forest 	 50.758 , -1.6379 	 50.7579 , -1.6379
Ashley, New South Wales 	 -29.315 , 149.8178 	 -29.3 , 149.817
Ashley, Staffordshire 	 52.9243 , -2.3553 	 52.9243 , -2.3553
Aston 	 52.498 , -1.893 	 52.5 , -1.88
Aston, Hertfordshire 	 51.8833 , -0.15 	 51.8833 , -0.15
Aston, Oxfordshire 	 51.725 , -1.508 	 51.725 , -1.508
Asturias 	 43.3333 , -6 	 43.333333333333 , -6.0
Asturias, Cebu 	 10.567 , 123.716 	 10.6 , 123.81666666667
Athlone, Edmonton 	 53.587 , -113.551 	 53.587 , -113.551
Atlanta, Idaho 	 43.8017 , -115.1267 	 43.801666666667 , -115.12666666667
Atlanta, Illinois 	 40.2625 , 89.2331 	 40.2628 , -89.2331
Atlanta, Louisiana 	 31.8083 , 92.7364 	 31.8086 , -92.7367
Atlanta, Michigan 	 45.0006 , -84.1508 	 45.0047 , -84.1439
Atlanta, Missouri 	 39.8992 , 92.48 	 39.8992 , -92.4803
Atlanta, Nebraska 	 40.3681 , 99.4725 	 40.368333333333 , -99.472777777778
Atlanta, Texas 	 33.1183 , -94.1667 	 33.1183 , -94.1667
Auburn, Colorado 	 40.3681 , -104.6367 	 40.3681 , -104.637
Auburn, Georgia 	 34.0167 , -83.8319 	 34.0167 , -83.8319
Auburn, Indiana 	 41.3653 , 85.0561 	 41.3669942 , -85.0588575
Auburn, Kansas 	 38.9067 , -95.8167 	 38.9067 , -95.8167
Auburn, Maine 	 44.0892 , -70.2414 	 44.089166666667 , -70.241388888889
Auburn, Massachusetts 	 42.1944 , -71.8361 	 42.2 , -71.833333333333
Auburn, New Hampshire 	 43.0044 , -71.3483 	 43.004444444444 , -71.348333333333
Auburn, New South Wales 	 -33.8656 , 151.0236 	 -33.8656 , 151.024
Auburn, New York 	 42.9317 , -76.5648 	 42.931661111111 , -76.564769444444
Auburn, Pennsylvania 	 40.5958 , -76.0928 	 40.59842 , -76.09327
Auburn, South Australia 	 -34.0269 , 138.6852 	 -34.0272 , 138.686
Auburn, Washington 	 47.3022 , -122.2147 	 47.302222222222 , -122.21472222222
Augusta, Georgia 	 33.47 , -81.975 	 33.47 , -81.975
Augusta, Illinois 	 40.2308 , 90.9506 	 40.2308 , -90.9508
Augusta, Kansas 	 37.6925 , -96.98 	 37.6925 , -96.98
Augusta, Kentucky 	 38.7726 , -84.0015 	 38.7717 , -84.0058
Augusta, Michigan 	 42.3356 , 85.3522 	 42.337777777778 , -85.351666666667
Augusta, Missouri 	 38.5722 , 90.8819 	 38.5722 , -90.8819
Augusta, New Jersey 	 41.1289 , -74.7283 	 41.1289 , -74.7283
Augusta, New York 	 42.9772 , -75.5022 	 42.966666666667 , -75.5
Augusta, Ontario 	 44.75 , -75.6 	 44.751111111111 , -75.600277777778
Augusta, Western Australia 	 -34.3119 , 115.1589 	 -34.312 , 115.159
Augusta, West Virginia 	 39.2953 , -78.6378 	 39.295 , -78.6383
Augusta, Wisconsin 	 44.6803 , -91.12 	 44.679722222222 , -91.122777777778
Aura, Michigan 	 46.8628 , -88.3186 	 46.8628 , -88.3186
Aurora, Cayuga County, New York 	 42.7467 , -76.6994 	 42.74666667 , -76.69944444
Aurora, Colorado 	 39.6958 , -104.8081 	 39.710833333333 , -104.8125
Aurora, Erie County, New York 	 42.7681 , -78.6125 	 42.768055555556 , -78.6125
Aurora, Illinois 	 41.7606 , -88.3202 	 41.76 , -88.298611111111
Aurora, Indiana 	 39.0583 , 84.9061 	 39.0586 , -84.9036
Aurora, Minnesota 	 47.5292 , -92.2403 	 47.52916667 , -92.24027778
Aurora, Missouri 	 36.97 , -93.7206 	 36.97 , -93.7206
Aurora, Nebraska 	 40.8667 , -98.0036 	 40.86723 , -98.00422
Aurora, Ohio 	 41.3193 , -81.3559 	 41.3192 , -81.3558
Aurora, Ontario 	 43.9997 , -79.4676 	 44.0 , -79.466666666667
Aurora, Oregon 	 45.2303 , -122.7553 	 45.230277777778 , -122.75527777778
Aurora, South Dakota 	 44.2831 , 96.6858 	 44.28413 , -96.68561
Aurora, Taylor County, Wisconsin 	 45.1775 , -90.8542 	 45.1775 , -90.854166666667
Aurora, Utah 	 38.9211 , -111.9364 	 38.921111111111 , -111.93638888889
Aurora, Victoria 	 -37.62 , 145.013 	 -37.62 , 145.013
Au, St. Gallen 	 47.4333 , 9.6333 	 47.42627 , 9.63689
Austin, Arkansas 	 35.0053 , -91.9892 	 35.005277777778 , -91.989166666667
Austin, Manitoba 	 49.9503 , -98.9361 	 49.9503 , -98.9361
Austin, Minnesota 	 43.6666 , -92.9749 	 43.6666 , -92.974861111111
Austin, Mississippi 	 34.6406 , -90.4492 	 34.6406 , -90.4492
Austin, Nevada 	 39.4932 , -117.0665 	 39.491944444444 , -117.07027777778
Austin, Oregon 	 44.6027 , -118.4966 	 44.6027 , -118.497
Austin, Texas 	 30.2672 , -97.7639 	 30.3 , -97.733333333333
Ava, Missouri 	 36.955 , 92.6631 	 36.956388888889 , -92.663055555556
Avan, Armenia 	 40.3353 , 44.1683 	 40.335277777778 , 44.168333333333
Ava, New York 	 43.4164 , -75.4619 	 43.418888888889 , -75.479444444444
Avondale, Arizona 	 33.4336 , -112.3497 	 33.433611111111 , -112.34972222222
Avondale, Auckland 	 -36.8985 , 174.6967 	 -36.8985 , 174.6967
Avondale, Louisiana 	 29.9044 , -90.2042 	 29.9044 , -90.2042
Avondale, Newfoundland and Labrador 	 47.4166 , -53.1981 	 47.418888888889 , -53.193888888889
Avondale, Pennsylvania 	 39.8256 , -75.7828 	 39.8256 , -75.7828
Ayon, Russia 	 69.9364 , 167.9944 	 69.936666666667 , 167.99444444444
Ayr 	 55.458 , -4.629 	 55.463888888889 , -4.6277777777778
Ayr, Ontario 	 43.2856 , -80.45 	 43.2856 , -80.45
Ayr, Queensland 	 -19.5739 , 147.4067 	 -19.583333333333 , 147.4
Badin 	 24.6558 , 68.8383 	 24.655833333333 , 68.838333333333
Bagan 	 21.1722 , 94.8603 	 21.17264 , 94.86154
Bagani, Namibia 	 -18.1167 , 21.6167 	 -18.116666666667 , 21.616666666667
Bagdad, Arizona 	 34.5767 , -113.1747 	 34.5767 , -113.175
Bagdad, California 	 34.5833 , -115.8756 	 34.582777777778 , -115.87555555556
Bagdad, Tamaulipas 	 25.95 , -97.15 	 25.95 , -97.15
Bagdad, Tasmania 	 -42.6297 , 147.2234 	 -42.6167 , 147.217
Bagh, Azad Kashmir 	 33.9735 , 73.7918 	 33.9735 , 73.7918
Bagh, Dhar 	 22.37 , 74.77 	 22.37 , 74.77
Bagol 	 25.38 , 73.6462 	 25.37999722 , 73.646225
Bago, Myanmar 	 17.3433 , 96.4981 	 17.343333333333 , 96.498055555556
Bago, Negros Occidental 	 10.5333 , 122.8333 	 10.533333333333 , 122.83333333333
Bagra, Marwar 	 25.2 , 72.5833 	 25.2 , 72.58333333
Baia 	 47.4203 , 26.2169 	 47.4203 , 26.2169
Baicheng 	 45.6167 , 122.8333 	 45.6148 , 122.832
Baima, Hunan 	 27.575 , 111.6986 	 27.57509 , 111.69855
Baisha, Taishan 	 22.2458 , 112.5947 	 22.24909 , 112.59487
Baishi, Xiangtan 	 27.465 , 112.8858 	 27.46491 , 112.88579
Bakar 	 45.3065 , 14.5342 	 45.316666666667 , 14.533333333333
Bala, Gwynedd 	 52.911 , -3.596 	 52.911 , -3.596
Bala, Ontario 	 45.0167 , -79.6167 	 45.0175 , -79.617222222222
Baldwin, Chemung County, New York 	 42.0997 , -76.6925 	 41.897138888889 , -76.875555555556
Baldwin, Florida 	 30.3039 , -81.975 	 30.303888888889 , -81.975
Baldwin, Maine 	 43.8394 , -70.7442 	 43.823333333333 , -70.724166666667
Baldwin, Michigan 	 43.8969 , -85.8525 	 43.897222222222 , -85.853055555556
Baldwin, Nassau County, New York 	 40.6702 , -73.6125 	 40.6702 , -73.6125
Baldwin, Pennsylvania 	 40.3572 , -79.9694 	 40.33813 , -79.97894
Bale, Norfolk 	 52.8908 , 0.9877 	 52.8908 , 0.9877
Bali 	 -8.3692 , 115.1383 	 -8.5 , 115.0
Bali, Rajasthan 	 25.18 , 73.28 	 25.18 , 73.28
Balla, County Mayo 	 53.805 , -9.1283 	 53.805 , -9.1283
Ballan, Victoria 	 -37.6 , 144.25 	 -37.6 , 144.25
Balta, North Dakota 	 48.1672 , -100.0367 	 48.167222222222 , -100.03666666667
Balta, Odessa Oblast 	 47.94 , 29.6219 	 47.936111111111 , 29.6225
Baltimore 	 39.2864 , -76.615 	 39.286388888889 , -76.615
Baltimore, County Cork 	 51.483 , -9.3735 	 51.483333333333 , -9.3666666666667
Bambang, Nueva Vizcaya 	 16.3825 , 121.11 	 16.3825 , 121.11
Bamban, Tarlac 	 15.6667 , 120.3333 	 15.65 , 120.25
Bana, Cameroon 	 5.15 , 10.2833 	 5.15 , 10.2667
Banda, Maharashtra 	 15.8127 , 73.8613 	 15.81273611 , 73.86132778
Banda, Uganda 	 0.3539 , 32.6325 	 0.355 , 32.63138889
Banda, Uttar Pradesh 	 25.4833 , 80.3333 	 25.483333333333 , 80.333333333333
Bandera, Santiago del Estero 	 -28.8884 , -62.266 	 -28.90277778 , -62.26666667
Bandera, Texas 	 29.7333 , -99.066 	 29.725 , -99.075
Bane, Lebanon 	 34.2781 , 35.955 	 34.278055555556 , 35.955
Banga, Aklan 	 11.6334 , 122.352 	 11.633333333333 , 122.33333333333
Banga, India 	 31.19 , 75.99 	 31.19 , 75.99
Bangar, La Union 	 16.8981 , 120.4231 	 16.9 , 120.41666666667
Banga, South Cotabato 	 6.3 , 124.7833 	 6.3 , 124.78333333333
Bangi, Malaysia 	 2.9 , 101.7833 	 2.9 , 101.78333333333
Bangor, California 	 39.3886 , -121.4053 	 39.38861111 , -121.40527778
Bangor, County Down 	 54.6555 , -5.6748 	 54.66 , -5.67
Bangor, Gwynedd 	 53.228 , -4.128 	 53.216666666667 , -4.1166666666667
